Time [s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s]
9.6,0.0495674533,-0.204335187,0.0338362001,6.37631741e-05,3.4716873e-05,-0.17826242
9.7,0.0516137756,-0.202417735,0.0338332389,6.31266855e-05,3.58535877e-05,-0.175813506
9.8,0.0535432844,-0.200426922,0.0338303022,6.24808457e-05,3.6963434e-05,-0.173292789
9.9,0.0553533084,-0.198366928,0.0338273912,6.18266336e-05,3.804609e-05,-0.170707871
10,0.0570415794,-0.196241893,0.0338245068,6.11655736e-05,3.91013248e-05,-0.168066174
10.1,0.0586062194,-0.194055897,0.0338216504,6.04987842e-05,4.01289897e-05,-0.165374901
10.2,0.0600457271,-0.191812939,0.0338188228,5.98274778e-05,4.11290223e-05,-0.162641004
10.3,0.0613589617,-0.189516923,0.0338160253,5.91526689e-05,4.21014325e-05,-0.159871149
10.4,0.0625451262,-0.187171641,0.0338132589,5.84754301e-05,4.30463082e-05,-0.157071699
10.5,0.0636037503,-0.184780765,0.0338105246,5.7796926e-05,4.39637969e-05,-0.154248693
10.6,0.0645346715,-0.182347831,0.0338078235,5.71180081e-05,4.48541111e-05,-0.151407832
10.7,0.0653380167,-0.179876233,0.0338051566,5.64396245e-05,4.57175162e-05,-0.14855447
10.8,0.0660141837,-0.177369219,0.0338025248,5.57627478e-05,4.65543294e-05,-0.145693606
10.9,0.0665638223,-0.174829879,0.0337999291,5.50882554e-05,4.73649087e-05,-0.142829889
11,0.0669878162,-0.17226115,0.0337973706,5.44166949e-05,4.81496551e-05,-0.139967609
11.1,0.0672872648,-0.169665807,0.0337948501,5.37489513e-05,4.89090043e-05,-0.137110713
11.2,0.0674634658,-0.167046467,0.0337923686,5.3085778e-05,4.96434197e-05,-0.134262801
11.3,0.0675178989,-0.164405584,0.0337899269,5.24278348e-05,5.03533902e-05,-0.13142714
11.4,0.0674522091,-0.161745458,0.033787526,5.17756201e-05,5.10394257e-05,-0.128606677
11.5,0.0672681916,-0.159068229,0.0337851667,5.11297084e-05,5.17020555e-05,-0.125804043
11.6,0.0669677777,-0.156375886,0.0337828498,5.04906667e-05,5.23418203e-05,-0.123021572
11.7,0.0665530208,-0.153670269,0.0337805762,4.98587658e-05,5.29592728e-05,-0.120261315
11.8,0.0660260838,-0.150953072,0.0337783467,4.92348355e-05,5.35549728e-05,-0.117525049
11.9,0.0653892272,-0.148225848,0.0337761621,4.8619125e-05,5.41294798e-05,-0.114814297
12,0.0646447982,-0.145490016,0.0337740231,4.80118465e-05,5.4683361e-05,-0.112130338
12.1,0.0637952201,-0.142746864,0.0337719304,4.74133399e-05,5.52171801e-05,-0.109474227
12.2,0.0628429836,-0.139997555,0.0337698848,4.68240693e-05,5.57315009e-05,-0.106846804
12.3,0.0617906375,-0.137243133,0.0337678869,4.62444946e-05,5.62268769e-05,-0.104248712
12.4,0.0606407813,-0.134484529,0.0337659375,4.56744024e-05,5.67038598e-05,-0.101680408
12.5,0.0593960581,-0.131722565,0.0337640372,4.51141231e-05,5.71629947e-05,-0.0991421785
12.6,0.0580591479,-0.128957962,0.0337621867,4.4564333e-05,5.76048152e-05,-0.0966341521
12.7,0.0566327618,-0.126191342,0.0337603864,4.4024852e-05,5.80298423e-05,-0.0941563096
12.8,0.0551196372,-0.123423238,0.0337586371,4.34956501e-05,5.84385925e-05,-0.0917084975
12.9,0.0535225327,-0.120654095,0.0337569393,4.29772374e-05,5.88315665e-05,-0.0892904383
13,0.051844224,-0.117884277,0.0337552935,4.24697163e-05,5.92092528e-05,-0.0869017407
13.1,0.0500875007,-0.115114074,0.0337537002,4.19729832e-05,5.95721268e-05,-0.0845419091
13.2,0.0482551624,-0.112343703,0.0337521599,4.14872686e-05,5.99206529e-05,-0.0822103529
13.3,0.0463500168,-0.109573313,0.0337506732,4.10128078e-05,6.02552782e-05,-0.0799063945
13.4,0.0443748762,-0.106802993,0.0337492404,4.05494133e-05,6.05764379e-05,-0.0776292771
13.5,0.0423325565,-0.104032773,0.033747862,4.00973068e-05,6.08845532e-05,-0.0753781716
13.6,0.0402258746,-0.101262627,0.0337465383,3.9656657e-05,6.11800297e-05,-0.0731521834
13.7,0.0380576476,-0.0984924814,0.0337452698,3.92273903e-05,6.14632586e-05,-0.0709503581
13.8,0.035830691,-0.0957222137,0.0337440568,3.88095999e-05,6.17346177e-05,-0.0687716868
13.9,0.0335478183,-0.0929516584,0.0337428997,3.84033264e-05,6.19944693e-05,-0.0666151111
14,0.0312118396,-0.0901806097,0.0337417987,3.80086235e-05,6.22431625e-05,-0.0644795277
14.1,0.0288255618,-0.0874088245,0.033740754,3.76255226e-05,6.24810311e-05,-0.0623637917
14.2,0.0263917876,-0.0846360251,0.0337397661,3.72541108e-05,6.27083953e-05,-0.0602667208
14.3,0.0239133156,-0.081861902,0.033738835,3.68942631e-05,6.2925561e-05,-0.0581870978
14.4,0.0213929402,-0.0790861161,0.0337379611,3.65462229e-05,6.31328212e-05,-0.0561236737
14.5,0.0188334515,-0.0763083017,0.0337371444,3.62102094e-05,6.33304524e-05,-0.0540751699
14.6,0.0162376358,-0.0735280678,0.0337363852,3.5885757e-05,6.35187198e-05,-0.0520402801
14.7,0.0136082755,-0.0707450011,0.0337356836,3.55730945e-05,6.36978757e-05,-0.0500176722
14.8,0.01094815,-0.0679586671,0.0337350397,3.52724326e-05,6.38681579e-05,-0.0480059898
14.9,0.00826003555,-0.0651686126,0.0337344535,3.49837896e-05,6.40297908e-05,-0.0460038529
15,0.00554670648,-0.0623743671,0.0337339252,3.47071567e-05,6.41829861e-05,-0.0440098593
15.1,0.00281093543,-0.0595754441,0.0337334547,3.44424226e-05,6.43279433e-05,-0.0420225851
15.2,5.54942073e-05,-0.0567713435,0.0337330421,3.41899287e-05,6.44648489e-05,-0.0400405851
15.3,-0.00271684537,-0.0539615521,0.0337326873,3.39495882e-05,6.45938761e-05,-0.0380623934
15.4,-0.0055033107,-0.0511455457,0.0337323904,3.37213385e-05,6.47151868e-05,-0.0360865232
15.5,-0.00830112735,-0.0483227899,0.0337321512,3.35054759e-05,6.48289298e-05,-0.0341114668
15.6,-0.0111075182,-0.0454927417,0.0337319697,3.33021271e-05,6.49352414e-05,-0.0321356957
15.7,-0.0139197023,-0.0426548506,0.0337318457,3.31109303e-05,6.50342455e-05,-0.0301576602
15.8,-0.0167348939,-0.0398085599,0.0337317791,3.29324039e-05,6.51260553e-05,-0.0281757889
15.9,-0.0195503009,-0.0369533077,0.0337317698,3.27666161e-05,6.5210769e-05,-0.0261884885
16,-0.0223631244,-0.0340885282,0.0337318175,3.26133147e-05,6.5288475e-05,-0.0241941429
16.1,-0.0251705565,-0.0312136528,0.0337319221,3.24731721e-05,6.53592477e-05,-0.0221911131
16.2,-0.0279697798,-0.0283281114,0.0337320833,3.23456492e-05,6.54231497e-05,-0.020177736
16.3,-0.0307579655,-0.0254313335,0.0337323009,3.22311783e-05,6.54802318e-05,-0.0181523245
16.4,-0.0335322723,-0.0225227492,0.0337325745,3.21301268e-05,6.55305306e-05,-0.016113166
16.5,-0.0362898445,-0.0196017911,0.0337329038,3.20421956e-05,6.55740711e-05,-0.0140585225
16.6,-0.0390278113,-0.0166678948,0.0337332886,3.19677148e-05,6.56108647e-05,-0.0119866299
16.7,-0.041743284,-0.0137205012,0.0337337285,3.19069267e-05,6.56409098e-05,-0.00989569711
16.8,-0.0444333556,-0.0107590573,0.033734223,3.1859845e-05,6.56641911e-05,-0.00778390608
16.9,-0.0470950983,-0.00778301807,0.0337347719,3.18266672e-05,6.56806796e-05,-0.00564941132
17,-0.0497255621,-0.0047918482,0.0337353746,3.18075642e-05,6.56903324e-05,-0.00349033983
17.1,-0.0523217731,-0.00178502386,0.0337360308,3.1802675e-05,6.56930916e-05,-0.00130479111
17.2,-0.0548807313,0.00123796527,0.0337367399,3.18123418e-05,6.56888849e-05,0.000909162527
17.3,-0.0573994093,0.00427761384,0.0337375014,3.18366107e-05,6.56776242e-05,0.00315347544
17.4,-0.0598747501,0.00733439845,0.0337383149,3.18756833e-05,6.5659206e-05,0.0054301278
17.5,-0.0623036651,0.0104087751,0.0337391799,3.1929918e-05,6.56335102e-05,0.00774112442
17.6,-0.0646830325,0.0135011764,0.0337400957,3.19993758e-05,6.56003998e-05,0.0100884931
17.7,-0.0670096953,0.0166120083,0.0337410617,3.20843175e-05,6.55597204e-05,0.0124742826
17.8,-0.0692804592,0.0197416473,0.0337420774,3.2184985e-05,6.55112992e-05,0.01490056
17.9,-0.071492091,0.0228904359,0.0337431422,3.2301535e-05,6.54549448e-05,0.0173694073
18,-0.0736413166,0.0260586795,0.0337442554,3.24345255e-05,6.53904459e-05,0.019882918
18.1,-0.0757248194,0.0292466414,0.0337454164,3.25839201e-05,6.53175716e-05,0.0224431918
18.2,-0.0777392384,0.0324545383,0.0337466244,3.27499161e-05,6.52360689e-05,0.0250523293
18.3,-0.0796811669,0.035682535,0.0337478788,3.29328426e-05,6.51456633e-05,0.0277124257
18.4,-0.0815471512,0.0389307388,0.0337491788,3.31331798e-05,6.5046057e-05,0.0304255627
18.5,-0.0833336891,0.0421991932,0.0337505238,3.3351146e-05,6.49369301e-05,0.0331938
18.6,-0.0850372294,0.0454878714,0.0337519129,3.35865279e-05,6.4817936e-05,0.0360191649
18.7,-0.0866541709,0.0487966686,0.0337533454,3.38402102e-05,6.46887029e-05,0.0389036408
18.8,-0.0881808627,0.0521253948,0.0337548205,3.41122557e-05,6.45488343e-05,0.0418491539
18.9,-0.0896136037,0.0554737653,0.0337563373,3.44026642e-05,6.43979039e-05,0.044857558
19,-0.090948644,0.0588413925,0.0337578951,3.47120405e-05,6.42354582e-05,0.0479306175
19.1,-0.0921821857,0.0622277755,0.033759493,3.50404023e-05,6.40610144e-05,0.0510699886
19.2,-0.0933103853,0.0656322893,0.0337611301,3.53881166e-05,6.38740589e-05,0.0542771973
19.3,-0.0943293563,0.0690541739,0.0337628056,3.57555904e-05,6.36740486e-05,0.0575536161
19.4,-0.0952351733,0.072492522,0.0337645186,3.6142653e-05,6.34604084e-05,0.0609004374
19.5,-0.0960238762,0.0759462661,0.0337662681,3.65494991e-05,6.32325287e-05,0.0643186441
19.6,-0.096691477,0.0794141649,0.0337680533,3.69766929e-05,6.29897693e-05,0.0678089779
19.7,-0.0972339667,0.0828947892,0.0337698732,3.74241996e-05,6.27314577e-05,0.0713719038
19.8,-0.0976473244,0.0863865067,0.0337717268,3.78920424e-05,6.24568866e-05,0.0750075721
19.9,-0.0979275278,0.0898874666,0.0337736132,3.83804391e-05,6.21653165e-05,0.0787157772
20,-0.0980705661,0.0933955831,0.0337755315,3.88894875e-05,6.18559758e-05,0.0824959128
20.1,-0.0980724541,0.0969085194,0.0337774806,3.94188917e-05,6.15280607e-05,0.0863469249
20.2,-0.0979292497,0.100423671,0.0337794596,3.99688755e-05,6.11807345e-05,0.0902672609
20.3,-0.0976370726,0.103938147,0.0337814674,4.05395332e-05,6.08131365e-05,0.0942548168
20.4,-0.0971921268,0.107448757,0.033783503,4.11301819e-05,6.04243752e-05,0.098306882
20.5,-0.0965907254,0.11095199,0.0337855654,4.17411838e-05,6.00135348e-05,0.102420082
20.6,-0.0958293186,0.114444004,0.0337876537,4.23718777e-05,5.95796833e-05,0.106590321
20.7,-0.0949045243,0.117920607,0.0337897666,4.30219187e-05,5.91218636e-05,0.110812722
20.8,-0.0938131631,0.121377244,0.0337919033,4.3691187e-05,5.8639115e-05,0.11508157
20.9,-0.0925522953,0.124808991,0.0337940626,4.43787735e-05,5.81304652e-05,0.119390258
21,-0.091119262,0.128210539,0.0337962434,4.50843168e-05,5.75949439e-05,0.12373123
21.1,-0.0895117294,0.131576194,0.0337984448,4.58068756e-05,5.70315882e-05,0.128095938
21.2,-0.0877277356,0.13489987,0.0338006657,4.6545749e-05,5.64394497e-05,0.132474803
21.3,-0.0857657407,0.138175096,0.033802905,4.73001532e-05,5.58176093e-05,0.136857175
21.4,-0.0836246788,0.14139502,0.0338051616,4.80687364e-05,5.51651824e-05,0.141231325
21.5,-0.0813040125,0.144552421,0.0338074344,4.88504223e-05,5.44813297e-05,0.145584427
21.6,-0.0788037879,0.14763973,0.0338097225,4.96438326e-05,5.37652745e-05,0.149902577
21.7,-0.07612469,0.150649054,0.0338120246,5.04478144e-05,5.3016311e-05,0.154170811
21.8,-0.0732680981,0.153572209,0.0338143398,5.12608435e-05,5.22338286e-05,0.158373164
21.9,-0.0702361386,0.156400761,0.0338166669,5.20810215e-05,5.14173118e-05,0.162492733
22,-0.0670317353,0.159126074,0.0338190049,5.29066998e-05,5.05663655e-05,0.166511777
22.1,-0.0636586553,0.161739368,0.0338213527,5.37358885e-05,4.96807245e-05,0.170411838
22.2,-0.0601215488,0.164231783,0.0338237093,5.4567105e-05,4.87602743e-05,0.174173889
22.3,-0.0564259814,0.16659445,0.0338260735,5.53980337e-05,4.78050687e-05,0.177778511
22.4,-0.0525784575,0.168818574,0.0338284443,5.62263528e-05,4.6815327e-05,0.181206086
22.5,-0.0485864338,0.170895515,0.0338308207,5.70501916e-05,4.57914631e-05,0.18443703
22.6,-0.0444583193,0.172816884,0.0338332015,5.78674482e-05,4.47340906e-05,0.187452027
22.7,-0.0402034645,0.174574632,0.0338355856,5.86758212e-05,4.36440351e-05,0.190232295
22.8,-0.0358321345,0.17616115,0.0338379721,5.94730056e-05,4.25223311e-05,0.192759851
22.9,-0.0313554686,0.17756936,0.0338403598,6.02569423e-05,4.13702347e-05,0.195017787
23,-0.0267854244,0.178792814,0.0338427476,6.10256944e-05,4.01892205e-05,0.196990542
23.1,-0.0221347077,0.179825775,0.0338451345,6.17768878e-05,3.8980982e-05,0.198664162
23.2,-0.0174166876,0.180663306,0.0338475194,6.2508791e-05,3.77474119e-05,0.200026545
23.3,-0.0126452993,0.181301336,0.0338499012,6.32195141e-05,3.64906141e-05,0.201067659
23.4,-0.00783493412,0.181736725,0.0338522788,6.39073757e-05,3.52128639e-05,0.201779727
