Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
1.3,1.20576891400284e-05,0.000460548902113807,0.00020619017895522,1.0504846939023,0.939397950854125,-7.7720403948156e-06,-0.000460706417351037,0.000315987224595954,41.8047352515936
1.4,1.30093712903228e-05,0.000461389443434553,0.000206964594897682,1.05413879410838,0.931908692037671,-7.74379054591101e-06,-0.000461572648294521,0.000315341160788822,41.4782076246095
1.5,1.39643364670029e-05,0.000462223079555728,0.000207738307465083,1.0577445526923,0.92402469114272,-7.71219526018996e-06,-0.000462434104063542,0.000314612636718162,41.1398190136365
1.6,1.49225395814134e-05,0.000463049456994573,0.000208506393031994,1.06129894469592,0.915748469912398,-7.67725146588738e-06,-0.000463289237919305,0.000313799731773698,40.78947358334
1.7,1.58839328222663e-05,0.00046386822460893,0.000209273071848783,1.0647989743242,0.907082717494859,-7.63895785760305e-06,-0.000464139655303113,0.000312900441277468,40.427068417752
1.8,1.68484656828539e-05,0.000464679033747093,0.000210034827040143,1.06824167679885,0.898030289259533,-7.59731491606352e-06,-0.000464983814450893,0.000311912676453446,40.0524937095996
1.9,1.78160849899317e-05,0.000465481538396571,0.000210790955231013,1.07162412019481,0.888594205541929,-7.55232493410141e-06,-0.000465821749386046,0.00031083426489279,39.6656329660719
2,1.87867349342533e-05,0.000466275395331687,0.000211546380046822,1.07494340725855,0.878777650316982,-7.50399203663932e-06,-0.000466653493637642,0.000309662950984787,39.2663632332545
2.1,1.97603571027412e-05,0.000467060264259958,0.000212294067736957,1.07819667720731,0.868583969798327,-7.45232220356051e-06,-0.00046747752096956,0.000308396396722046,38.8545553415142
2.2,2.0736890512276e-05,0.000467835807967177,0.000213036128426602,1.08138110750799,0.858016670966939,-7.3973232892488e-06,-0.000468294650400152,0.000307032182662651,38.4300741744703
2.3,2.17162716450845e-05,0.000468601692461148,0.000213772562115757,1.08449391563499,0.847079420029178,-7.33900503546714e-06,-0.000469104141038472,0.000305567808950047,37.9927789642234
2.4,2.26984344857082e-05,0.000469357587113999,0.000214501962054299,1.08753236080583,0.835776040805056,-7.2773790926739e-06,-0.000469906032361762,0.000304000697060405,37.5425236156946
2.5,2.368331055953e-05,0.000470103164803022,0.000215228548492596,1.0904937456938,0.82411051304642,-7.21245903068102e-06,-0.000470698814600284,0.000302328191533768,37.0791570630427
2.6,2.46708289728406e-05,0.000470838102049966,0.000215945287680036,1.09337541811634,0.812086970687317,-7.14426035219873e-06,-0.000471484079738373,0.000300547562300392,36.6025236613545
2.7,2.56609164544185e-05,0.000471562079158731,0.000216657103242047,1.09617477269856,0.799709700026368,-7.0728005026055e-06,-0.000472259550039529,0.000298656007379695,36.1124636168644
2.8,2.66534973986048e-05,0.000472274780351397,0.000217359774928262,1.09888925251082,0.786983137841266,-6.99809887949598e-06,-0.000473026044172989,0.000296650656157864,35.6088134590959
2.9,2.76484939098455e-05,0.00047297589390253,0.000218055412863864,1.10151635067937,0.77391186943944,-6.92017683956436e-06,-0.000473782836439359,0.000294528573202514,35.0914065585657
3,2.86458258486786e-05,0.000473665112271709,0.000218744017048853,1.10405361196937,0.760500626641294,-6.83905770260118e-06,-0.000474529973256983,0.000292286762669024,34.5600736935292
3.1,2.96454108791398e-05,0.00047434213223421,0.000219424180733107,1.10649863433914,0.746754285699743,-6.75476675704445e-06,-0.000475267500161954,0.000289922173555199,34.0146436695637
3.2,3.06471645175605e-05,0.000475006655009798,0.000220095200541565,1.10884907046503,0.732677865157625,-6.66733126020169e-06,-0.000475993930442821,0.000287431705582624,33.454943995756
3.3,3.1651000182731e-05,0.000475658386389554,0.000220757779849287,1.11110262923579,0.718276523640658,-6.57678043558541e-06,-0.000476710079370416,0.000284812215880045,32.8808016211328
3.4,3.26568292474017e-05,0.000476297036860707,0.000221410511906152,1.11325707721597,0.703555557591163,-6.48314547446738e-06,-0.000477415229800626,0.000282060526851572,32.2920437351875
